id,ytm,ytw,ytc,ytp
90903915-d0c8-4be2-8493-f06c55ff3fce,0.041980,0.041980,,
e336e2a6-53b7-4fc5-ad19-2defd2050d90,0.040002,0.040002,,
fb14e4c9-ff77-4828-bc35-089a76c25f6c,0.041340,0.041340,,
82638c5f-78f2-4f27-b961-eb9d37fbbb63,0.482589,0.482589,,
06ff62f8-ac46-4a49-b30e-0f33f0c79ade,0.063130,0.063130,,
daef4a3e-ee29-42fa-8ec1-ccd584396783,0.040594,0.040594,,
26c1f0a1-3d8b-46f8-8ed8-905b2be9ade3,0.039482,0.039482,,
c780da57-4452-4e18-a7b5-3e41ccf65273,0.016636,0.016636,,
b30b446c-c88a-4016-8986-fd7358096a52,0.036102,0.036102,,
3251338a-2128-46d4-99c4-bd4d261dbb65,0.037660,0.037660,,
c4b90c94-7d04-4ea1-887f-434b2dc4e5b4,0.047569,0.047569,,
0965230b-2ff4-4d00-833e-0dba7f0d608d,0.022591,0.022591,,
96efa6a9-1e3b-4c8d-902c-f55e4bb1a03b,0.061742,0.061742,,
6e9a2cc6-72e4-4fe5-ba99-197fc098fb62,0.059835,0.059835,,
f9fa837b-91ee-4e21-8130-31e51f79003f,0.042854,0.042854,,
d00810fa-f3be-41c8-853e-aed7311d53ea,0.041524,0.041524,,
55761c89-40b4-4e0f-875d-b03dad8a23fb,0.062014,0.062014,,
cb1a571f-89e7-48da-824f-3ddae465a005,0.041045,0.041045,,
307ed63d-bea0-4df0-8262-388ed291b91f,0.035512,0.035512,,
b92aa3a1-be4a-4f38-ad87-19bb30ef095e,0.053993,0.053993,,
d423d62e-dfac-4d1f-a167-942f263d74cb,0.050441,0.050441,,
799e71c4-22c1-42df-9179-1f472ac7d764,0.055052,0.055052,,
7dfcbd3f-4069-452a-b14f-4ff92b02c4d7,0.057789,0.057789,,
208c3f0c-dd23-420d-a13d-3acdee679825,0.043096,0.043096,,
ab39e90a-35ba-4dd9-a069-6d3e69ca34d5,0.053208,0.053208,,
c88cb906-6d5c-4b1e-8a95-c23cfe025ff5,0.050506,0.050506,,
145b7fb0-531e-432d-b331-703436bbd339,0.044021,0.044021,,
382c0e97-df00-4853-b8c1-9c44104babf3,0.023812,0.023812,,
d07cba45-31e7-4d8f-9840-f6a530f0008c,0.030799,0.030799,,
b2afa682-2e8d-4775-b5c4-ec9ab8976c53,0.062217,0.062217,,
c4982d0f-d42f-4c77-8732-3e8632f3df00,0.052790,0.052790,,
2a9753bd-11e5-4059-9aaf-68bc5a6ea1b1,0.051433,0.051433,,
712c7033-57cf-45ec-be72-dd42154ec5b9,0.043143,0.043143,,
e95027ff-2180-4520-8f98-b5e6879a0456,0.043033,0.043033,,
61cdee78-6cd4-4326-9591-e49384cb0d30,0.035098,0.035098,,
96d24e4c-085a-4959-8b3e-47d9c64d1705,0.074548,0.074548,,
8420a429-7622-47e6-b386-e4c3fe1a57c6,0.052206,0.052206,,
26c5372b-9354-445c-9fcd-0bd0b3303e95,0.052684,0.052684,,
8888c83e-391f-41da-8614-fc8db2166076,0.058381,0.058381,,
15bdafe6-c93a-4398-b62c-12e8559270a5,0.005789,0.005789,,
b768538d-cf10-49de-8af1-7d31cc855fd6,0.035076,0.035076,,
c63aa8f6-a4f1-47ad-8aba-b13a49867fe2,0.039733,0.039733,,
20b1858f-0b84-4373-a605-231d3f74a6de,0.035098,0.035098,,
69a513b5-ab72-4ba5-a464-fdbc9f58266a,0.065775,0.065775,,
99d12571-f905-48ef-9363-537e81433398,0.051983,0.051983,,
262113bd-7d61-48ad-95d7-649c2ccfeea7,0.040666,0.040666,,
3ecb2780-cfcb-4bc8-9cd9-d32f225d41ed,0.003530,0.003530,,
1f1ff689-722f-4629-b9bd-e8d9cf362d95,0.048066,0.048066,,
6fa17758-e10f-45d1-b805-a701161253e7,0.050677,0.050677,,
8026a60b-41f2-484d-a528-d19cc77d0a46,0.080727,0.080727,,
6607b290-5931-4475-94d4-5324c9b475be,0.048615,0.048615,,
9cde1060-65fe-4860-abd4-5cd13566f286,0.043385,0.043385,,
cbcca33a-c486-4902-b4da-2b3f9d11914d,0.059681,0.059681,,
cdb1a1da-004c-4005-8ede-0460d6f650b8,0.054771,0.054771,,
3aee2455-98bb-41aa-9bdc-fa1787f7abdd,0.057416,0.057416,,
354263aa-5af8-4836-b8db-7e59610ef4c9,0.039069,0.039069,,
7a509fe4-9b4c-409a-8dc9-e77e1369615c,0.039430,0.039430,,
ee97a87e-0761-45af-be8d-edaa1ddd6b23,0.062056,0.062056,,
0860b564-5917-41b4-823b-960e6a1d82d2,0.044172,0.044172,,
eb39f466-a87e-44f3-8ab0-12a3c2849808,0.055300,0.055300,,
81f90c2a-7be4-4636-9c74-1692f3036105,0.039623,0.039623,,
0be658ec-dbbc-4d62-9fd5-0dc8a10cbc61,0.075989,0.075989,,
0121c632-5612-4117-8b0f-c19b7ca9a4a7,0.074112,0.074112,,
