id,horizonMD,horizonNoVolumes,horizonVolumes,esHistInno30D-Arcanist,esHistInno30D-ArcanistMD,esHistInno30D-Recco
343fb4cf-90fd-4450-aa34-123a53df8719,6,6,30,0.038474,0.029802,0.029802
45e76422-cc49-468f-8cbb-d7e2cf892ffc,6,6,30,-0.001834,-0.001420,-0.001420
3e30abbf-f2b5-4968-bf95-de5f570c494b,6,6,30,0.026684,0.020670,0.020670
2d0ef816-0110-4892-be8c-04f171297c86,6,6,30,0.032656,0.025295,0.025295
29e15a97-7f62-4a16-9ca7-eaf9fd8c164b,6,6,30,0.050152,0.038848,0.038848
e4f68811-2f80-4c33-911e-46a7235ee9b2,6,6,30,0.016802,0.013015,0.013015
d044217b-e185-4041-8901-dfc0f16f0c14,6,6,30,0.020465,0.015852,0.015852
a17c730c-8867-4d1a-8ba3-951e1d27c62c,6,6,30,0.025857,0.020029,0.020029
8cbe8218-10c1-4689-95a0-5cfca5c827ad,6,6,30,0.020710,0.016042,0.016042
cb6aed82-d4dd-431b-9fc1-94716444107e,6,6,6,0.009787,0.009787,0.009787
3c0a0fe1-4309-42a9-b3bb-aea9f5cf4470,6,6,30,-0.003053,-0.002365,-0.002365
31e0da5a-71f9-4747-a3b4-df5f15b98197,6,6,30,0.048780,0.037785,0.037785
26e86110-f436-4a8c-a47c-8097f46f1af1,6,6,30,0.034633,0.026827,0.026827
0d38a8f7-9a03-418c-bb53-ad33f0c5b052,6,6,30,-0.003934,-0.003047,-0.003047
d31c0176-f88c-4f72-aee3-2272a5740ef1,6,6,30,-0.002563,-0.001986,-0.001986
a477971f-146a-4ecc-adf0-a339bab35f85,6,6,30,0.018938,0.014670,0.014670
383f0ee8-f855-46f0-b488-874dd967c71e,6,6,30,0.097191,0.075284,0.075284
9a5c06dd-313a-42cb-a851-d3763bab3c86,6,6,30,-0.003854,-0.002986,-0.002986
4d6f1674-86c8-4c19-b687-f8ad2fedb81a,6,6,30,0.042470,0.032897,0.032897
7b56ceba-576f-4991-b506-d52ceb22359b,6,6,30,-0.004330,-0.003354,-0.003354
1de29dd5-3bbf-4e0c-9767-15cbb0a91a7f,6,6,30,0.040761,0.031573,0.031573
ab796184-3f47-4e4f-afd3-9c6b4008e4d1,6,6,30,0.035354,0.027385,0.027385
cbb3bfac-f5fd-4bf7-a5e3-d90ddce42249,6,6,6,0.001118,0.001118,0.001118
abe07d4b-dabc-49a1-ac93-fbe28535ff24,6,6,30,0.012523,0.009700,0.009700
f2a230b0-c432-4538-9db9-eaf1b41448ee,6,6,30,0.019540,0.015136,0.015136
fe7f26ac-e04f-4bad-b836-e9110bfe5e78,6,6,6,0.035876,0.035876,0.035876
f6af4a78-f65a-4dbf-8a4b-35cba2c927eb,6,6,6,0.043860,0.043860,0.043860
