id,marketCap,horizonPoC,horizonMD,horizonNoVolumes,horizonVolumes,esHistInno30D-ArcanistLiquidity,esHistInno30D-Arcanist,esHistInno30D-Recco
bffdb0c2-4a7e-44f0-a974-e9a91c0a1809,10538010742.187500,0,0,15,2,,,0.161841
5e26e460-d17f-4a98-872f-50c062ac8bc4,328241852.851900,22,0,15,19,,,0.262264
c8b30ddc-5f47-4be2-9f40-27e742dffaf7,5190474361.864200,4,0,15,13,,,0.256524
4c4182f8-d423-485a-87d3-949f10dc52b7,448196621.029000,20,0,15,21,,,0.459248
da84760a-4cae-4ff7-a9cb-9d7d5b080d28,359623397.975400,21,0,15,19,,,0.356770
a3a42ee1-dabe-49fa-ac3b-51c70b46c724,3592534524.556200,6,0,15,20,,,0.260285
17199bbf-b261-43b3-a368-f99746af0d04,8850183305.568901,0,0,15,18,,,0.348926
640559a6-32d0-4231-aee4-db2e6c5b35f1,15828808.248600,30,0,15,30,,,0.458763
2804baad-edb7-4136-b8da-04ea628c3f43,1926497299.301700,10,0,15,18,,,0.323976
9b37879d-5aca-4e61-8dc9-4f201ad8e950,63945646.745100,30,0,15,30,,,0.453145
315f029a-b149-4a26-8ad7-68ac52ad7eed,8627680211.044601,0,0,15,11,,,0.192308
b98dab50-7272-4136-b824-d46effec83dc,143193361.281600,27,0,15,22,,,0.585044
1de32d95-3bc4-48dc-86f3-bc41ab908fec,329381516.803800,22,0,15,29,,,0.236739
41e5a3d3-4a20-4300-85af-0283c0ecdeb8,11681696.082700,30,0,15,30,,,0.509123
ef7cbc98-1fbc-4639-bdd7-ecabd736f453,40747319.568000,30,0,15,30,,,0.633877
69a8c3a7-703d-41ea-a6a2-a19da87db814,5122853328.800200,4,0,15,30,,,0.173501
a8739386-6309-4d20-b059-f58456185eb6,27371089924.717800,0,0,15,7,,,0.361225
ebb1c222-7c8c-48d3-9a94-f86586a1cb16,61517075088.123703,0,0,15,0,,,0.350534
cfee5e6a-f2cd-428f-ac1b-1576ebc10176,1191305090.822200,13,0,15,22,,,0.184602
360fa861-d3b3-4868-a2f3-2f5037e55217,4187700799.344900,5,10,30,10,,,0.290173
8ee58c5b-9d38-447a-9745-6d28ce8f1956,26244371226.774097,0,0,15,8,,,0.155539
5acdc11f-3423-4b26-8640-3daed2021cbf,1085678797.398400,14,0,15,25,,,0.218833
173c718a-3b55-4a62-8287-5eef2cfc1328,107680390625.000000,0,0,15,0,,,0.232485
6037efdf-7423-4e41-943f-cdff8cbe9fc8,6868524.074600,30,0,15,30,,,0.495984
62bc359a-fc6b-4690-901b-a3903f4c0317,310642272.949200,22,0,15,18,,,0.693246
f373e1bf-23de-49cd-a47c-ceec26600df1,400666196.544100,20,0,15,30,,,0.262855
09390dbf-dc8d-4caa-81ae-a93494362891,646.167400,30,0,15,30,,,1.407142
6a626c2c-33ca-43bb-9638-3ab07a758c0b,17112297032.515501,0,0,15,3,,,0.233691
e0c3f1a8-5553-44ff-bfff-0b6b1ad9edb9,26402443.801400,30,0,15,30,,,1.123226
666c7720-6a24-4c7e-8d67-ac313f7974b6,797733774.147000,16,0,15,23,,,0.184567
c234ea75-cb64-408b-98f7-0a72ef5cb108,45961123670.356499,0,0,15,4,,,0.136950
ac280985-f102-4fc6-92ba-1e16be77d916,1036756980.787500,14,0,15,23,,,0.263291
