id,ytm,ytw,ytc,ytp
6514da90-1194-49e4-8dbb-e3d190ee84c0,0.059024,0.059024,,
17230503-b568-4e4b-b657-8be3c1dc0b87,-0.299995,-0.299995,,
896beda1-2a46-46c7-ac57-749d648500e4,0.481558,0.481558,,
1bd24303-ab41-4d8e-85ac-331d0166d3be,0.021224,0.021224,,
c27d976d-b5b5-4d7d-98fa-b4541530a114,0.003067,0.003067,,
9f8c20b4-bd53-4078-b0b3-85c2ba8f5db5,0.060600,0.060600,,
3a813dad-bdfd-4e6f-a814-1ea553d785fd,0.044483,0.044483,,
c49862d1-a54a-49e4-b1f9-300057e8f183,-0.182074,-0.182074,,
79ea9963-01ae-46e4-8bcd-79561215ae91,0.075625,0.075625,,
82458008-252f-4938-84cf-b374d23bab91,0.357943,0.357943,,
c2449362-1ea5-4e54-a37d-75f12a5196f7,0.058200,0.058200,,
51e0a15d-92be-4102-9c8e-d3c0e18d28e5,0.059458,0.059458,,
4e38cbcb-0e96-4057-bf0e-65ca52affcb3,0.052710,0.052710,,
9fb4cdac-ec60-4850-ab3e-0d57a2cf3f4e,0.571831,0.571831,,
8d3b573d-7337-4ea7-ba4c-44881416267c,0.504654,0.504654,,
e181d50e-80f8-496c-9e78-fe137e7b18c0,0.061203,0.061203,,
d46bff30-0672-4da0-a882-39fcf2954631,-1.799095,-1.799095,,
8614d650-f363-4c74-b0d6-b6c506ad889a,0.309423,0.309423,,
5d88e888-7980-4e8e-b72d-a4fd45f81852,0.059257,0.059257,,
e3cf311a-42be-4e4d-9279-46705064c9d8,0.054455,0.054455,,
f6d0fcbf-355e-4917-a3b4-ce15c7ec7e62,0.089398,0.089398,,
925a6198-93b0-48a0-8de9-a03387b910aa,0.054120,0.054120,,
dab43841-bee8-4be6-bd76-72d848091c8c,0.059833,0.059833,,
5cbdd342-8b3f-424f-b554-71cc37d05012,-0.558681,-0.558681,,
14d21c54-bfef-49c3-8f33-f5855500a95a,1.572558,1.572558,,
27ace518-71e3-4bd9-8728-ba34abe960ec,-0.967249,-0.967249,,
9acd79b2-e05d-457f-a110-e1fe0f44b050,0.262366,0.262366,,
31c601b3-cca6-4eac-b95f-66ad744091d8,0.053101,0.053101,,
ff32acbd-1fe0-4eac-b78a-ebe9f5c32add,-0.701336,-0.701336,,
586991d9-6d5f-4c64-a14a-7db17c7613e9,-0.814661,-0.814661,,
8ac2bc97-9223-40e8-a845-917b021b7878,0.686931,0.686931,,
6c657e0a-933e-4311-9c35-c96df89dfb7f,0.059254,0.059254,,
68bc87ad-adcf-4ce6-b58a-49e91a0f44ce,-0.273136,-0.273136,,
3a622a85-e4aa-4318-b31d-e72a12f93bf4,0.064230,0.064230,,
5a810544-8c00-4324-9e52-6120423c28a0,0.055369,0.055369,,
2a9f563d-a641-44ad-acbb-ee62c72d9ad2,0.618182,0.618182,,
19e30b26-dd5c-4987-ab34-c9241728d181,0.032991,0.032991,,
902fc868-c648-4aba-bd1e-1c5c75c22c70,0.062944,0.062944,,
724154f2-f538-49c1-b547-1aa0bfb84bf8,0.058989,0.058989,,
570a9f42-b9ed-4681-ba32-d85e88c7810a,-0.390999,-0.390999,,
f35aa846-881d-4782-aea7-54a649cd65e4,0.114124,0.114124,,
a25ede3c-1f75-44c1-a78e-9eec961f40f7,-0.569991,-0.569991,,
156a0af2-e662-4f00-9393-ac2371262483,-0.002727,-0.002727,,
dfa6dbe6-927b-4b3d-86f7-8f512346b93e,0.159631,0.159631,,
7ccd4f1c-8b25-4612-9ab3-743f4b88eeef,-1.476231,-1.476231,,
70b0d535-7de5-4237-bf37-bbccdb4b77bb,-0.014283,-0.014283,,
91a4dc51-c8b8-4fb7-aae5-7acaf6fcd622,0.025937,0.025937,,
340be208-bda4-4f1f-91cb-9b1b2ec34ae2,0.058448,0.058448,,
50f0f11b-76ec-405c-ab00-1af29b31d41e,0.057864,0.057864,,
699a5f5b-0aa3-4ac6-a7d8-856f8d01a705,0.062800,0.062800,,
ac9626d4-c2b0-46e9-b076-a0696fecf1e8,0.503630,0.503630,,
6a8c158c-4593-4eaa-9209-eb0fc61644fd,0.068347,0.068347,,
269b3afc-c0cb-4658-bed2-41320daa2e06,0.087905,0.087905,,
881e2fa8-d4e3-4395-b2c3-0d0a1e8ae017,-0.895153,-0.895153,,
05846a14-b880-4ecc-9119-ee75a099bf87,0.053092,0.053092,,
427e0fa8-df92-4a80-aa12-1b7a1883b290,0.360770,0.360770,,
082997b9-a06a-4054-8572-334d8073f1be,-0.461287,-0.461287,,
6bb07eed-d528-4aff-aeb6-9adc1f537c7c,0.087148,0.087148,,
1276542c-64e5-4953-9098-8c4c50e95781,0.062834,0.062834,,
4bd0b32b-1be8-4279-bc8e-5a1e8463af82,0.059552,0.059552,,
24cebae3-4f16-407d-b654-45a24201a14b,0.053512,0.053512,,
01007361-0271-48f6-87d9-12d2954b7f3f,-0.002879,-0.002879,,
24ca726b-a767-4ce0-b9ca-9c6253128fae,0.051683,0.051683,,
1083e331-8675-4608-bb47-051004e368c3,0.065064,0.065064,,
45f61995-ca2a-4e95-b710-9bc114eab5e0,0.059059,0.059059,,
81f6812a-7889-42df-ba16-3c5642f56187,0.066434,0.066434,,
2009b2db-5f5b-43c9-acf9-6068eaf6766d,0.063984,0.063984,,
0976c20b-da81-4abc-b0ba-173d05227592,-0.144448,-0.144448,,
993be943-cd74-44ba-99fa-2bf0747d18a5,0.047907,0.047907,,
8092ca23-cc09-4d00-96e9-d64333e9961e,0.204841,0.204841,,
8a4d88a7-310e-403b-a2de-e4485d1c4f8a,0.422223,0.422223,,
a16183fe-85c0-44ef-8a3f-416008a8e31b,0.053051,0.053051,,
34c08c96-4c72-4f26-83d3-0e63f1c3cc1d,0.053104,0.053104,,
3fbf87ca-6db5-4710-b22f-eb76baadb06e,0.061754,0.061754,,
6f6ca1b2-0836-44c4-85c9-be59098434e2,0.052875,0.052875,,
c658fbcb-7454-41ac-9f9b-12d5a9d03a2b,-1.699081,-1.699081,,
24a97ee4-8719-496b-95d5-8b846ba0cad1,-0.585769,-0.585769,,
aa4053c1-e2e7-4b1c-89b7-e79ce0b301af,0.059469,0.059469,,
0a694e5e-2a3c-4ba0-8fc1-f8ac36005761,0.062956,0.062956,,
ffb2d95c-36b1-4cea-ae38-fd3e5bfdb851,0.120320,0.120320,,
114c827b-2a52-4b94-b8ea-8dbb33e219a6,0.069595,0.069595,,
c9116479-6caa-4ae4-8231-839a7add5faf,0.148443,0.148443,,
5ca4ec61-da83-49a6-9130-b70c38826e1f,0.062817,0.062817,,
354554c2-505c-4388-8483-2278eb83ada4,0.665286,0.665286,,
5b7f8280-7c38-4a7f-8cbd-065fa259ca30,-2.604138,-2.604138,,
e4574e78-d27f-4f32-b0dc-d690eb81ad52,0.062682,0.062682,,
929174f9-4cf3-4fd7-a080-49e213b99efb,0.085075,0.085075,,
bc653bca-56c8-4123-a315-31d9282a9b37,0.054822,0.054822,,
bbf03adc-1912-4eb5-b3f5-95d423352ba4,0.062957,0.062957,,
f2806925-905a-4eec-b75a-c9c5cad2c396,-1.541067,-1.541067,,
00fef8cd-b2a9-46a5-aa17-789de58e5de2,0.050416,0.050416,,
03eb0e27-def8-42e0-9002-e8ae3639d706,0.063529,0.063529,,
c1998b5e-b33b-4187-9d5e-f655bac898e9,0.050490,0.050490,,
a430b7b5-5930-422a-851f-4b76efe7ff3a,-1.430856,-1.430856,,
e0282d4a-c8aa-4c72-955f-0f8718874dff,0.062956,0.062956,,
1f112ae4-3e02-49e9-bc6b-19a1d35b61e5,0.002452,0.002452,,
1084e347-613d-4aec-bd09-c0b9228e67e0,1.126296,1.126296,,
fde6ba80-f82a-42cb-b3a7-9b8e86973cb5,0.060478,0.060478,,
d5a73b16-757a-4d98-87de-7c4920745dd6,0.039555,0.039555,,
0a07e913-52cc-49e2-baa2-5779e35b42ba,0.206328,0.206328,,
07bf141d-f3b7-45e0-825c-efcd88c77d3e,0.044704,0.044704,,
8f2e781c-00ed-47ce-b3b3-624a33817a59,0.026534,0.026534,,
92e9a9a7-6ebf-400e-8f72-24023af58145,0.093113,0.093113,,
53288d49-bf75-45ee-86ce-6737dbd61838,0.096456,0.096456,,
3f086339-20f7-469d-b167-2b75f1a415ce,-0.738867,-0.738867,,
6c10353b-04f9-46d5-bb37-eb31aeb3ad10,-0.569991,-0.569991,,
231b6949-2593-4bd4-b51c-02202da5da04,-0.236248,-0.236248,,
6b181b28-c54f-4363-826f-d92dd34c4033,-0.068831,-0.068831,,
75ad5659-2a6e-4751-b26b-73874ef67c6e,0.048305,0.048305,,
59223e3e-9ecb-43e5-ad34-3019dad4a978,0.053051,0.053051,,
